ID,Gene Symbol,ENTREZ_GENE_ID,ABS_CALL
1565925_at,SLC17A4,10050,0
1566123_at,FABP6,2172,0
1566124_a_at,FABP6,2172,0
1566342_at,SOD2,6648,1
1566433_at,PLD4,122618,0
1566670_at,PDXK,8566,0
1566671_a_at,PDXK,8566,0
1566739_at,PLCE1,51196,0
1566740_at,PLCE1,51196,0
1566784_at,NSF,4905,0
1566785_x_at,NSF,4905,0
1566861_at,GATM,2628,0
1567222_x_at,ELOVL5,60481,1
1568601_at,GAD2,2572,0
1568618_a_at,GALNT1,2589,1
1568620_at,CSAD,51380,1
1568629_s_at,PIK3R2,5296,1
1568638_a_at,IDO2,169355,0
1568743_at,ATP10A,57194,0
1568781_at,UROS,7390,1
1568859_a_at,SLC8A3,6547,0
1568870_at,SLC24A4,123041,0
1568882_at,LRTOMT,220074,0
1568922_at,SLC24A4,123041,0
1568943_at,INPP5D,3635,0
1568986_x_at,PIGT,51604,0
1569021_at,PIK3C2A,5286,0
1569022_a_at,PIK3C2A,5286,1
1569054_at,SLC1A3,6507,0
1569057_s_at,MIA3,375056,1
1569102_at,ABCA4,24,0
1569272_at,PIK3C3,5289,0
1569334_at,STRA6,64220,1
1569335_a_at,STRA6,64220,0
1569337_at,SLC5A9,200010,0
1569392_at,TECR,9524,0
1569431_at,PAFAH1B2,5049,0
1569448_at,PGM2L1,283209,0
1569555_at,GDA,9615,0
1569631_at,NMNAT1,64802,1
1569683_at,XYLB,9942,0
1569699_at,AK7,122481,0
1569700_s_at,AK7,122481,0
1569773_at,ATP8A1,10396,0
1569788_at,ST8SIA1,6489,0
1569891_at,ATP5A1,498,0
1569905_at,HSD11B1L,374875,0
1569926_s_at,SLC34A3,142680,0
1570124_at,SLC29A4,222962,0
1570141_at,MYO5B,4645,0
1570222_at,NDST4,64579,0
1570279_at,ABCA1,19,0
1570336_at,BDH1,622,0
1570371_a_at,EPT1,85465,0
1570505_at,ABCB4,5244,0
1570528_at,XYLT2,64132,0
1570533_at,CMPK1,51727,0
177_at,PLD1,5337,0
200074_s_at,RPL14,9045,1
200075_s_at,GUK1,2987,1
200078_s_at,ATP6V0B,533,1
200086_s_at,COX4I1,1327,1
200096_s_at,ATP6V0E1,8992,1
200627_at,PTGES3,10728,1
200642_at,SOD1,6647,1
200643_at,HDLBP,3069,1
200648_s_at,GLUL,2752,1
200650_s_at,LDHA,3939,1
200657_at,SLC25A5,292,1
200661_at,CTSA,5476,1
200681_at,GLO1,2739,1
200697_at,HK1,3098,1
200708_at,GOT2,2806,1
200710_at,ACADVL,37,1
200736_s_at,GPX1,2876,1
200737_at,PGK1,5230,1
200738_s_at,PGK1,5230,1
200742_s_at,TPP1,1200,1
200743_s_at,TPP1,1200,1
200748_s_at,FTH1,2495,1
200762_at,DPYSL2,1808,1
200768_s_at,MAT2A,4144,1
200769_s_at,MAT2A,4144,1
200789_at,ECH1,1891,1
200790_at,ODC1,4953,1
200793_s_at,ACO2,50,1
200813_s_at,PAFAH1B1,5048,1
200815_s_at,PAFAH1B1,5048,1
200816_s_at,PAFAH1B1,5048,1
200818_at,ATP5O,539,1
200822_x_at,TPI1,7167,1
200831_s_at,SCD,6319,1
200832_s_at,SCD,6319,1
200844_s_at,PRDX6,9588,1
200845_s_at,PRDX6,9588,1
200848_at,AHCYL1,10768,1
200849_s_at,AHCYL1,10768,1
200850_s_at,AHCYL1,10768,1
200862_at,DHCR24,1718,1
200866_s_at,PSAP,5660,1
200871_s_at,PSAP,5660,1
200883_at,UQCRC2,7385,1
200884_at,CKB,1152,1
200886_s_at,PGAM1,5223,1
200898_s_at,MGEA5,10724,1
200899_s_at,MGEA5,10724,1
200903_s_at,AHCY,191,1
200924_s_at,SLC3A2,6520,1
