#ID_REF = 
#VALUE = linear expression value; rma
#ABS_CALL = MAS 5.0 absolute detection
ID_REF	VALUE	ABS_CALL
200878_at	1915.21	P
200879_s_at	262.96	P
200880_at	1772.33	P
200881_s_at	4421.96	P
200882_s_at	1421.54	P
200883_at	1345.78	P
200884_at	251.59	P
200885_at	2185.1	P
200886_s_at	4848.32	P
200887_s_at	930.14	P
200888_s_at	6013.02	P
200889_s_at	901.33	P
200890_s_at	561.63	P
200891_s_at	2962.28	P
200892_s_at	1714.45	P
200893_at	3402.77	P
200894_s_at	447.87	P
200895_s_at	898.7	P
200896_x_at	2109.98	P
200897_s_at	1778.48	P
200898_s_at	650.65	P
200899_s_at	707.15	P
200900_s_at	1029.98	P
200901_s_at	787.18	P
200902_at	1094.73	P
200903_s_at	1275.92	P
200904_at	206.62	P
200905_x_at	1321.75	P
200906_s_at	415.3	P
200907_s_at	1075.01	P
200908_s_at	27.68	A
200909_s_at	6828.02	P
200910_at	2658.56	P
200911_s_at	1067.78	P
200912_s_at	3555.08	P
200913_at	855.26	P
200914_x_at	956.1	P
200915_x_at	2249.27	P
200916_at	5308.05	P
200917_s_at	489.95	P
200918_s_at	1104.13	P
200919_at	730.2	P
200920_s_at	413.74	P
200921_s_at	422.43	P
200922_at	661.51	P
200923_at	2075.69	P
200924_s_at	974.64	P
200925_at	3928.09	P
200926_at	9600.16	P
200927_s_at	897.55	P
200928_s_at	23.1	P
200929_at	1196.3	P
200930_s_at	22.99	A
200931_s_at	2991.78	P
200932_s_at	1551.76	P
200933_x_at	8550.05	P
200934_at	2790.2	P
200935_at	436.22	P
200936_at	9347.23	P
200937_s_at	5578.23	P
200938_s_at	17.02	A
200939_s_at	23.55	A
200940_s_at	238.44	P
200941_at	1164.16	P
200942_s_at	2510.67	P
200943_at	4604.41	P
200944_s_at	4193.84	P
200945_s_at	1154.68	P
200946_x_at	639.01	P
200947_s_at	658.75	P
200948_at	1151.83	P
200949_x_at	5946.27	P
200950_at	2046.14	P
200951_s_at	21.17	A
200952_s_at	16.56	A
200953_s_at	12.11	A
200954_at	971.28	A
200955_at	1508.17	P
200956_s_at	1384.76	P
200957_s_at	1313.49	P
200958_s_at	1838.35	P
200959_at	2332.06	P
200960_x_at	3524.67	P
200961_at	723.9	P
200962_at	147.24	P
200963_x_at	8037.88	P
200964_at	1733.43	P
200965_s_at	317	P
200966_x_at	6884.83	P
200967_at	2729.79	P
200968_s_at	2650.05	P
200969_at	449.44	P
200970_s_at	548.73	P
200971_s_at	1598.96	P
200972_at	1571.78	P
200973_s_at	841.28	P
200974_at	215.14	P
200975_at	1736.41	P
200976_s_at	1208.95	P
200977_s_at	1210.41	P
200978_at	3186.05	P
200979_at	103.37	P
200980_s_at	926.78	P
200981_x_at	7908.62	P
200982_s_at	1082.53	P
200983_x_at	3649.4	P
200984_s_at	2416.53	P
200985_s_at	2853.28	P
200986_at	23.55	A
200987_x_at	984.55	P
200988_s_at	221.96	P
200989_at	4114.78	P
200990_at	1871.14	P
200991_s_at	980.87	P
200992_at	1428.24	P
200993_at	1392.25	P
200994_at	1046.72	P
200995_at	556.47	P
200996_at	2118.14	P
200997_at	1556.82	P
200998_s_at	946.96	P
200999_s_at	2302.09	P
201000_at	1357.82	P
201001_s_at	1836.96	P
201002_s_at	1664.58	P
201003_x_at	865.52	P
201004_at	1808.41	P
201005_at	1513.05	P
201006_at	33.27	A
201007_at	1019.59	P
201008_s_at	280.59	P
201009_s_at	206.43	P
201010_s_at	250.59	P
201011_at	1192.75	P
201012_at	4229.6	P
201013_s_at	2821.96	P
201014_s_at	1898.69	P
201015_s_at	110.57	P
201016_at	570.05	P
201017_at	467.69	P
201018_at	506.51	P
201019_s_at	1143.78	P
201020_at	887.32	P
201021_s_at	4066.5	P
201022_s_at	5199.35	P
201023_at	1118.28	P
201024_x_at	1261.05	P
201025_at	164.42	P
201026_at	74.92	P
201027_s_at	414.69	P
201028_s_at	1364.63	P
201029_s_at	2043.87	P
201030_x_at	4804.27	P
201031_s_at	2951.38	P
201032_at	844.1	P
201033_x_at	8455.59	P
201034_at	721.05	P
201035_s_at	235.28	P
201036_s_at	244.34	P
201037_at	1626.5	P
201038_s_at	328.32	P
201039_s_at	529.14	P
201040_at	1167.33	P
201041_s_at	1360.46	P
201042_at	105.92	P
201043_s_at	768.69	P
201044_x_at	169.46	P
201045_s_at	91.55	A
201046_s_at	568.29	P
201047_x_at	1373.21	P
201048_x_at	155.48	P
201049_s_at	10586.19	P
201050_at	490.08	P
201051_at	1492.87	P
201052_s_at	503.59	P
201053_s_at	192.96	P
201054_at	1812.49	P
201055_s_at	474.52	P
201056_at	96.1	P
201057_s_at	275.5	P
201058_s_at	2118.13	P
201059_at	989.24	P
201060_x_at	1434.88	P
201061_s_at	1175.61	P
201062_at	14.33	A
201063_at	1088.83	P
201064_s_at	1335.29	P
201065_s_at	952.25	P
201066_at	1955.34	P
201067_at	474.58	P
201068_s_at	2046.16	P
201069_at	43.6	P
201070_x_at	857.37	P
201071_x_at	2069.53	P
201072_s_at	340.88	P
201073_s_at	520.5	P
201074_at	633.97	P
201075_s_at	466.79	P
201076_at	526.56	P
201077_s_at	2203.89	P
201078_at	1804.64	P
201079_at	567.23	P
201080_at	244.87	P
201081_s_at	148.05	P
201082_s_at	371.78	P
201083_s_at	282.73	P
201084_s_at	1777.38	P
201085_s_at	1265.2	P
201086_x_at	1256.3	P
201087_at	382.67	P
201088_at	3030.7	P
201089_at	957.38	P
201090_x_at	10136.32	P
201091_s_at	997.2	P
201092_at	2009.58	P
201093_x_at	1956.41	P
201094_at	6523.78	P
201095_at	624.88	P
201096_s_at	1963.64	P
201097_s_at	2962.16	P
201098_at	1321.71	P
201099_at	715.7	P
201100_s_at	1372.86	P
201101_s_at	1171.37	P
201102_s_at	364.71	P
201103_x_at	1443.23	P
201104_x_at	869.5	P
