ID,Gene Symbol,ENTREZ_GENE_ID,ABS_CALL
205568_at,AQP9,366.0,0
205570_at,PIP4K2A,5305.0,0
205577_at,PYGM,5837.0,0
205581_s_at,NOS3,4846.0,0
205582_s_at,GGT5,2687.0,0
205592_at,SLC4A1,6521.0,0
205593_s_at,PDE9A,5152.0,0
205615_at,CPA1,1357.0,0
205622_at,SMPD2,6610.0,0
205623_at,ALDH3A1,218.0,0
205627_at,CDA,978.0,0
205632_s_at,PIP5K1B,8395.0,0
205633_s_at,ALAS1,211.0,1
205640_at,ALDH3B1,221.0,1
205657_at,HAAO,23498.0,0
205661_s_at,FLAD1,80308.0,1
205670_at,GAL3ST1,9514.0,0
205676_at,CYP27B1,1594.0,1
205683_x_at,TPSAB1,7177.0,0
205692_s_at,CD38,952.0,0
205694_at,TYRP1,7306.0,0
205695_at,SDS,10993.0,0
205700_at,HSD17B6,8630.0,0
205704_s_at,ATP6V0A2,23545.0,1
205709_s_at,CDS1,1040.0,0
205711_x_at,ATP5C1,509.0,1
205736_at,PGAM2,5224.0,0
205738_s_at,FABP3,2170.0,0
205749_at,CYP1A1,1543.0,0
205757_at,ENTPD5,957.0,1
205759_s_at,SULT2B1,6820.0,0
205765_at,CYP3A5,1577.0,0
205768_s_at,SLC27A2,11001.0,1
205769_at,SLC27A2,11001.0,1
205770_at,GSR,2936.0,1
205799_s_at,SLC3A1,6519.0,1
205813_s_at,MAT1A,4143.0,0
