Reaction ID,Confidence Score
ST6GALNAC23,2
ST6GALNAC26,2
ST6GALNAC27,2
ST6GALNAC28,2
ST6GALNAC31_1,4
ST6GALNAC62,4
ST8SIA12,4
ST8SIA51g,4
ST8SIA52g,4
ST8SIA53g,4
ST8SIA56g,4
STCOAtx,2
STRDNCCPT1,4
STRDNCt,2
STS1,4
STS2,4
STS2r,4
SUCCtp,0
SUCD1m,0
SULFOX,4
T4HCINNMFM,2
TAURt4_2_r,4
TCHOLAt,4
TDCHOLAtx,2
TDPm,2
TETHEX3t,2
TETPENT3CPT1,4
TETPENT6CPT1,4
TETPENT6CRNt,4
TETTET6CPT2,4
THCHOLSTOICtm,2
THD1m,4
THFtm,2
THMDt4,4
THMMPt4_1,4
THMMPtm_cho,2
THMt2m,4
THMTP,4
THMTPt_1,4
THRCYSNaEx,4
THRGLNNaEx,4
THRGLYexR,2
THRSERNaEx,4
THYMDtl,4
THYMDtm,4
THYOXt,4
TMDK1m,4
TMNDNCCOAtx,2
TMNDNCCPT1,4
TMNDNCCRNt,4
TMNDNCt,2
TRDR2,4
TRIODTHYSULT,4
TRPHYDRO2,4
TRPO2,4
TRPt4,2
TRYPTAOX,4
TSTSTERONEGLCte,2
TSTSTERONEGLCtr,2
TSTSTERONESte,1
TSTSTERONESULT,4
TSTSTERONEt,2
TSTSTERONEtr,2
TSULt4_3,4
TTDCAtr,2
TTDCPT2,4
TTDCRNt,4
TXA2tr,2
TYRASE,2
TYRDOPO,4
TYROXDAc,4
UAG2EMA,4
UAGALDP,2
UDPACGALtl,1
